Date,User,Message
3/4/24 16:39,부끄러워하는 라이언,"부끄러워하는 라이언님이 들어왔습니다.
타인, 기관 등의 사칭에 유의해 주세요. 금전 또는 개인정보를 요구 받을 경우 신고해 주시기 바랍니다.
운영정책을 위반한 메시지로 신고 접수 시 카카오톡 이용에 제한이 있을 수 있습니다."
3/4/24 16:41,신난 어피치,신난 어피치님이 들어왔습니다.
3/4/24 16:41,ㅈㅅㅇ,ㅈㅅㅇ님이 들어왔습니다.
3/4/24 16:41,권대헌,권대헌님이 들어왔습니다.
3/4/24 16:44,떨고있는 어피치,떨고있는 어피치님이 들어왔습니다.
3/4/24 16:45,으쓱으쓱 어피치,으쓱으쓱 어피치님이 들어왔습니다.
3/4/24 16:46,얼굴마사지하는 제이지,얼굴마사지하는 제이지님이 들어왔습니다.
3/4/24 16:46,N이 되고픈 엡실론,N이 되고픈 엡실론님이 들어왔습니다.
3/4/24 16:47,택배 상자를 든 네오,택배 상자를 든 네오님이 들어왔습니다.
3/4/24 16:47,불나게 일하는 네오,불나게 일하는 네오님이 들어왔습니다.
3/4/24 16:49,으쓱으쓱 어피치,으쓱으쓱 어피치님이 들어왔습니다.
3/4/24 16:49,인사하는 제이지,인사하는 제이지님이 나갔습니다.
3/4/24 16:52,하트뿅뿅 라이언,하트뿅뿅 라이언님이 들어왔습니다.
3/4/24 16:53,타일러,타일러님이 들어왔습니다.
3/4/24 16:54,허주연,허주연님이 들어왔습니다.
3/4/24 16:54,눈물 흘리는 제이지,눈물 흘리는 제이지님이 들어왔습니다.
3/4/24 16:54,제이지,제이지님이 들어왔습니다.
3/4/24 16:54,건방진 제이지,건방진 제이지님이 들어왔습니다.
3/4/24 16:55,떨고있는 어피치,떨고있는 어피치님이 들어왔습니다.
3/4/24 16:55,...,...님이 들어왔습니다.
3/4/24 16:55,블럭을 무너트리는 라이언,블럭을 무너트리는 라이언님이 들어왔습니다.
3/4/24 16:55,떨고있는 어피치,떨고있는 어피치님이 들어왔습니다.
3/4/24 16:55,nnd,nnd님이 들어왔습니다.
3/4/24 16:55,화나서 방방 뛰는 튜브,화나서 방방 뛰는 튜브님이 들어왔습니다.
3/4/24 16:56,심수기모띠,심수기모띠님이 들어왔습니다.
3/4/24 16:56,Hopeful Neo,Hopeful Neo님이 들어왔습니다.
3/4/24 16:56,Luca [루카],Are the newest slides for Spring 2024 on either eTL or the math.snu.ac.kr course site?
3/4/24 16:58,츄리닝안경 네오,츄리닝안경 네오님이 들어왔습니다.
3/4/24 16:58,정우성,정우성님이 들어왔습니다.
3/4/24 16:58,피자 먹다 자는 무지,피자 먹다 자는 무지님이 들어왔습니다.
3/4/24 16:59,부끄러워하는 라이언,부끄러워하는 라이언님이 들어왔습니다.
3/4/24 16:59,TA Youngmin,"Please refer to the class website for course materials:
https://ernestryu.com/courses/deep_learning.html"
3/4/24 16:59,먹보 네오,먹보 네오님이 들어왔습니다.
3/4/24 17:00,눈물바다에 빠진 라이언,눈물바다에 빠진 라이언님이 들어왔습니다.
3/4/24 17:00,눈물바다에 빠진 라이언,눈물바다에 빠진 라이언님이 나갔습니다.
3/4/24 17:00,탈수학,탈수학님이 들어왔습니다.
3/4/24 17:01,Apeach enjoys music,Apeach enjoys music님이 들어왔습니다.
3/4/24 17:01,눈물바다에 빠진 라이언,눈물바다에 빠진 라이언님이 들어왔습니다.
3/4/24 17:02,불나게 일하는 네오,불나게 일하는 네오님이 들어왔습니다.
3/4/24 17:02,벌 서는 라이언,벌 서는 라이언님이 들어왔습니다.
3/4/24 17:03,졸린 라이언,졸린 라이언님이 들어왔습니다.
3/4/24 17:04,택배 상자를 든 네오,택배 상자를 든 네오님이 들어왔습니다.
3/4/24 17:04,기뻐하는 라이언,기뻐하는 라이언님이 들어왔습니다.
3/4/24 17:05,좌절하는 라이언,좌절하는 라이언님이 들어왔습니다.
3/4/24 17:05,엄지척 제이지,엄지척 제이지님이 들어왔습니다.
3/4/24 17:07,뿅뿅 네오,뿅뿅 네오님이 들어왔습니다.
3/4/24 17:07,말썽쟁이 네오,말썽쟁이 네오님이 들어왔습니다.
3/4/24 17:08,기뻐하는 라이언,기뻐하는 라이언님이 들어왔습니다.
3/4/24 17:09,치즈케이크,치즈케이크님이 들어왔습니다.
3/4/24 17:09,머리 빗는 네오,머리 빗는 네오님이 들어왔습니다.
3/4/24 17:10,건배하는 프로도,건배하는 프로도님이 들어왔습니다.
3/4/24 17:10,마이크를 든 라이언,마이크를 든 라이언님이 들어왔습니다.
3/4/24 17:10,TA Jisun,"톡게시판 '공지': Please refer to the class website for course materials:
https://ernestryu.com/courses/deep_learning.html"
3/4/24 17:12,건방진 제이지,건방진 제이지님이 들어왔습니다.
